Toyota;2001;0.845;0.860;t
Fiat;2002;0.910;0.930;t
Mercedes-benz;1999;1.055;1.070;t
Fiat;2005;0.815;0.830;t
Opel;2001;1.390;1.410;t
Toyota;2000;1.085;1.100;t
Skoda;2003;1.185;1.200;t
Volkswagen;2000;1.278;1.300;t
Audi;1999;1.130;1.150;t
Volkswagen;1996;1.160;1.180;t
Opel;2000;1.465;1.480;t
Mercedes-benz;1991;1.400;1.420;t
Seat;2000;0.961;0.980;t
Opel;2008;1.100;1.120;t
Volkswagen;2000;1.337;1.350;t
Daewoo;1998;1.113;1.130;t
Seat;2003;1.584;1.600;t
Opel;2000;1.520;1.540;t
Chrysler;2001;1.890;1.910;t
Ford;2001;1.270;1.290;t
Skoda;2008;1.285;0.680;f
Renault;1999;1.035;1.050;t
Seat;2000;1.023;1.040;t
Opel;1999;1.045;1.060;t
Citroen;2003;0.982;1.000;t
Volkswagen;1997;0.905;0.920;t
Suzuki;2004;1.150;1.170;t
Opel;2000;1.355;1.370;t
Seat;2003;1.157;1.170;t
Volkswagen;2006;1.614;1.630;t
Opel;1997;0.825;0.840;t
Smart;2001;0.755;0.780;t
Renault;2001;0.900;0.920;t
Volkswagen;1990;0.975;0.990;t
Ford;2002;1.408;1.430;t
Renault;2001;1.325;1.340;t
Opel;2008;1.498;1.510;t
Toyota;2006;0.835;0.850;t
Volkswagen;1998;1.314;1.330;t
Opel;2004;1.565;1.580;t
Renault;2002;1.480;1.500;t
Opel;2001;1.395;1.410;t
Citroen;2002;1.460;1.480;t
Nissan;1999;1.270;1.290;t
Skoda;2002;1.055;1.070;t
Volkswagen;1999;1.640;1.660;t
Mazda;2003;1.215;1.230;t
Opel;1997;1.590;1.610;t
Volkswagen;2000;1.201;1.220;t
Renault;2005;1.465;1.480;t
Volkswagen;1999;1.235;1.250;t
Audi;1996;1.320;1.340;t
Mercedes-benz;1998;1.795;1.810;t
Volkswagen;2003;2.140;2.160;t
Fiat;1998;0.835;0.850;t
Fiat;2001;0.653;0.670;t
Volkswagen;1997;0.848;0.860;t
Renault;2000;1.170;1.190;t
Hyundai;1995;1.560;1.580;t
Opel;1999;1.280;1.300;t
Toyota;2006;0.985;1.000;t
Hyundai;2005;1.773;1.790;t
Seat;2002;0.940;0.960;t
Smart;2004;1.000;1.020;f
Ford;1997;1.290;1.050;f
Fiat;2003;0.835;0.850;t
Toyota;2001;1.665;1.680;t
Nissan;1998;1.295;1.310;t
Opel;2001;0.795;0.810;t
Peugeot;1997;1.620;1.640;t
Daewoo;1999;0.981;1.000;t
Daewoo;2000;1.047;1.060;t
Mitsubishi;1998;1.090;1.110;t
Opel;1997;0.882;0.900;t
Audi;1997;1.125;1.140;t
Honda;1997;1.045;1.060;t
Mercedes-benz;1996;1.420;1.440;t
Opel;1997;1.090;1.110;t
Opel;2000;1.154;1.170;t
Ford;2001;1.465;1.480;t
Ford;2000;1.204;1.220;t
Citroen;2004;1.346;1.360;t
Renault;1999;1.030;1.050;t
Peugeot;1996;1.000;1.020;t
Peugeot;2004;0.921;0.940;t
Skoda;2000;1.314;1.330;t
Audi;1998;1.155;1.170;t
Peugeot;2004;1.905;1.920;t
Audi;1998;1.125;1.140;t
Seat;2000;1.059;1.080;t
Volkswagen;1995;0.865;0.880;t
Volvo;2004;1.355;1.370;t
Opel;2003;1.495;1.510;t
Peugeot;2001;1.217;1.230;t
Mazda;1997;1.115;1.130;t
Daewoo;1999;0.795;0.810;t
Fiat;2000;0.695;0.710;t
Renault;2002;1.392;1.410;t
Volkswagen;2002;1.604;1.620;t
Volkswagen;1996;1.693;1.710;t
Fiat;2001;0.835;0.850;t
Audi;1998;1.205;1.220;t
Ford;1999;1.028;1.040;t
Volkswagen;2000;1.197;1.210;t
Kia;2003;1.166;1.180;t
Subaru;2000;1.335;1.350;t
Volkswagen;2001;0.964;0.980;t
Renault;2001;0.870;0.890;t
Mazda;2002;1.310;1.330;t
Ford;2000;1.466;1.480;t
Mercedes-benz;1997;1.075;1.090;t
Ford;1999;1.235;1.250;t
Opel;2000;1.280;1.300;t
Volkswagen;1997;1.755;1.770;t
Volkswagen;1995;1.245;1.260;t
Citroen;2000;1.280;1.300;t
Toyota;2001;0.955;0.980;t
Opel;1993;0.939;0.960;t
Volkswagen;1999;1.228;1.250;t
Nissan;1997;1.300;1.320;t
Fiat;2000;0.835;0.850;t
Audi;1998;1.320;1.340;t
Citroen;2002;1.140;1.160;t
Seat;2000;1.089;1.100;t
Citroen;2004;1.040;1.060;t
Volkswagen;2006;1.461;1.480;t
Opel;2002;0.970;0.990;t
Mercedes-benz;1998;1.075;1.090;t
Fiat;1997;1.595;1.610;t
Daewoo;2000;1.047;1.070;t
Volkswagen;1991;1.300;1.320;t
Opel;2000;1.020;1.040;t
Renault;1998;1.520;1.540;t
Peugeot;1999;0.725;0.740;t
Daewoo;1999;1.001;1.020;t
Fiat;2002;0.905;0.920;t
Volvo;2005;1.423;1.440;t
Opel;2003;1.195;1.210;t
Fsm-bielsko b.;1994;0.635;0.650;t
Opel;1997;1.162;1.180;t
Mazda;2002;1.415;1.430;t
Fiat;2003;1.085;1.100;t
Audi;2007;1.320;1.340;t
Peugeot;2000;1.090;1.110;t
Skoda;2004;1.425;1.440;t
Seat;2004;1.130;1.150;t
Renault;2002;0.900;0.920;t
Mercedes-benz;1998;1.480;1.500;t
Ford;2004;1.352;1.360;t
Opel;2001;1.025;1.040;t
Opel;2001;1.240;1.260;t
Opel;2000;1.210;1.230;t
Skoda;1999;1.150;1.170;t
Renault;1999;1.285;1.300;t
Ford;2000;1.167;1.190;t
Volkswagen;2004;1.492;1.510;t
Peugeot;2004;1.425;1.440;t
Renault;2001;1.385;1.400;t
Volkswagen;1994;1.240;1.260;t
Bmw;1998;1.510;1.530;t
Skoda;1995;0.890;0.910;t
Daewoo;2000;0.795;0.810;t
Renault;2001;1.050;1.070;t
Daewoo;2000;0.795;0.810;t
Renault;2004;1.345;1.360;t
Seat;1999;1.206;1.220;t
Volkswagen;1995;0.980;1.000;t
Volkswagen;1999;1.312;1.330;t
Fiat;2001;1.075;1.090;t
Ford;1999;1.160;1.180;t
Opel;2002;1.463;1.480;t
Ford;2004;1.110;1.130;t
Opel;2002;1.163;1.180;t
Nissan;1996;1.095;1.110;t
Audi;1996;1.185;1.200;t
Audi;1997;1.220;1.240;t
Renault;2003;1.355;1.370;t
Nissan;2000;1.000;1.020;t
Fiat;2003;0.835;0.850;t
Fiat;2000;0.715;0.730;t
Audi;2001;1.235;1.250;t
Opel;1998;1.119;1.130;t
Mercedes-benz;1996;1.560;1.580;t
Peugeot;2001;1.625;1.640;t
Fsm-bielsko b.;1996;0.635;0.650;t
Opel;2003;1.310;1.330;t
Ford;2000;1.626;1.640;t
Fiat;1997;1.595;1.610;t
Nissan;2001;1.205;1.220;t
Nissan;2004;1.139;1.160;t
Opel;1999;1.175;1.190;t
Opel;2002;0.960;0.980;t
Volkswagen;1999;1.097;1.110;t
Volkswagen;1995;0.915;0.930;t
Alfa romeo;2004;1.325;1.340;t
Skoda;2002;1.025;1.040;t
Volkswagen;2005;2.280;2.300;t
Fiat;2006;0.815;0.830;t
Toyota;2002;1.315;1.330;t
Ford;1996;1.204;1.220;t
Audi;1998;1.710;1.730;t
Alfa romeo;2003;1.205;1.220;t
Honda;1999;1.140;1.160;t
Skoda;1998;1.190;1.210;t
Ford;2001;1.356;1.370;t
Opel;1999;1.150;1.170;t
Renault;2012;2.021;1.310;f
Renault;1999;0.975;0.990;t
Renault;1994;0.770;0.790;t
Opel;1998;1.150;1.170;t
Volkswagen;1998;1.560;1.580;t
Daewoo;2001;0.795;0.810;t
Renault;1994;1.290;1.310;t
Seat;2002;1.339;1.360;t
Nissan;2005;1.465;1.480;t
Nissan;1996;1.070;1.090;t
Citroen;2003;1.074;1.090;t
Chrysler;2000;1.453;1.470;t
Volkswagen;2004;2.350;2.370;t
Opel;1998;1.085;1.100;t
Citroen;2000;1.275;1.290;t
Citroen;2000;1.335;1.350;t
Nissan;2001;1.320;1.340;t
Opel;1998;1.287;1.300;t
Opel;2001;1.165;1.180;t
Opel;2000;0.960;0.980;t
Toyota;1998;0.910;0.930;t
Renault;2001;0.840;0.860;t
Renault;1998;1.310;1.330;t
Fs-lublin;1989;1.560;1.580;t
Mazda;2005;1.305;1.320;t
Opel;1998;0.990;1.010;t
Fsm-bielsko b.;1993;0.635;0.650;t
Opel;2001;1.417;1.430;t
Opel;1998;0.882;0.900;t
Seat;2004;1.176;1.190;t
Opel;1999;1.119;1.140;t
Volkswagen;1997;1.235;1.250;t
Fiat;1996;1.020;1.040;t
Opel;1999;0.940;0.960;t
Bmw;1998;1.226;1.240;t
Nissan;2000;1.380;1.400;t
Ford;2007;1.350;1.370;t
Renault;2001;1.385;1.400;t
Mazda;1999;1.010;1.030;t
Kia;2004;2.043;2.060;t
Renault;2002;0.980;1.000;t
Nissan;1999;1.180;1.200;t
Citroen;1998;0.965;0.980;t
Opel;1999;1.115;1.130;t
Volkswagen;1995;1.205;1.220;t
Renault;1999;1.340;1.360;t
Opel;2001;1.363;1.380;t
Chrysler;1997;1.755;1.770;t
Citroen;2003;1.040;1.060;t
Volvo;2001;1.255;1.270;t
Fiat;2000;0.920;0.940;t
Peugeot;2001;0.910;0.930;t
Peugeot;2002;1.136;1.150;t
Nissan;2002;1.253;1.270;t
Renault;2001;1.525;1.540;t
Ford;1998;0.906;0.920;t
Renault;2003;0.785;0.800;t
Volvo;2003;1.355;1.370;t
Opel;1998;1.120;1.150;t
Volkswagen;2003;1.043;1.060;t
Volkswagen;1998;1.152;1.170;t
Opel;2002;0.995;1.010;t
Volkswagen;1991;0.845;0.860;t
Volkswagen;2000;1.316;1.330;t
Opel;1998;1.350;1.370;t
Fiat;2003;0.790;0.810;t
Seat;1994;0.930;0.950;t
Opel;1998;1.210;1.230;t
Opel;1990;0.860;0.880;t
Volkswagen;1999;1.292;1.310;t
Peugeot;2002;1.394;1.410;t
Volkswagen;1998;1.181;1.200;t
Ford;2005;1.026;1.040;t
Renault;2003;1.305;1.320;t
Citroen;2002;1.360;1.380;t
Mercedes-benz;1998;1.200;1.220;t
Mercedes-benz;2002;1.135;1.150;t
Ford;2000;1.130;1.150;t
Fiat;1999;0.885;0.900;t
Audi;1999;1.455;1.470;t
Nissan;2005;1.341;1.360;t
Alfa romeo;1999;1.190;1.210;t
Suzuki;2002;0.835;0.850;t
Opel;2006;1.463;1.480;t
Nissan;1994;0.965;0.980;t
Peugeot;2001;0.870;0.890;t
